Marker,Displacement,PathLength,Spread,InvolvementScore
LFIN,1.0,0.9691055643231129,0.9304895286958195,0.9665316976729775
LWRA,0.8878793804309182,0.8034850206029959,0.7955041220712774,0.8289561743683972
LWRB,0.8787629022257797,0.8012767499262379,0.7825387957496626,0.8208594826338933
RFIN,0.23446488066196405,1.0,1.0,0.7448216268873212
LFRA,0.7289287252585601,0.6496913947316033,0.6412909653659272,0.6733036951186969
RWRA,0.18965452192541057,0.8344279912198991,0.8493996817195147,0.6244940649549414
RWRB,0.11514444872564639,0.8247087112002232,0.8289684186494551,0.5896071928584415
LELB,0.5858151258978311,0.4100628535078603,0.4068890123809615,0.46758899726221764
RFRA,0.17071889614379596,0.5101681080711034,0.5332416179460958,0.4047095407203318
RELB,0.23638850433504346,0.39357020215562255,0.4092934806381958,0.3464173957096206
LUPA,0.49416869277869574,0.19965134878010563,0.18616929975077082,0.2933297804365241
RUPA,0.22067010538144932,0.2771372498644206,0.2864603082676617,0.2614225545045106
LFHD,0.6750975047518392,0.03888650733803507,0.0356860230609619,0.2498900117169454
RFHD,0.6450760258969329,0.04029363968098503,0.032174523951282286,0.23918139650973338
RBHD,0.6115590971294915,0.04422844121223388,0.03394907116332262,0.22991220316834934
LBHD,0.5077690410152452,0.041866246843399305,0.03664691886278193,0.1954274022404755
LASI,0.47814948386353623,0.028605951000905027,0.0254554992633206,0.17740364470925396
LPSI,0.4566290081632129,0.029534696051239633,0.02363269042391484,0.16993213154612244
LSHO,0.30075912857815035,0.09567359229055418,0.08622137243665455,0.16088469776845302
RPSI,0.4146830932983725,0.02847953101176585,0.022455721875877972,0.15520611539533877
RASI,0.36504931397645024,0.030190271012686176,0.02235923229117552,0.13919960576010398
STRN,0.34262197957950846,0.03941826673846493,0.03300129767487477,0.1383471813309494
RSHO,0.22099975853025233,0.09722384463711381,0.09048372405257829,0.13623577573998147
T10,0.3136459202543015,0.05159484432344103,0.03917703471627671,0.1348059330980064
RBAK,0.20801399594177086,0.06758501192417911,0.05511668480850177,0.11023856422481726
CLAV,0.2202937827060268,0.04654820183784927,0.03787106125621633,0.10157101526669747
C7,0.16512343628393428,0.06106287553701875,0.05436814632527118,0.09351815271540807
