Frame,Time,C7_X,C7_Y,C7_Z,STRN_X,STRN_Y,STRN_Z,RSHO_X,RSHO_Y,RSHO_Z,RELB_X,RELB_Y,RELB_Z,RWRA_X,RWRA_Y,RWRA_Z,LSHO_X,LSHO_Y,LSHO_Z,LELB_X,LELB_Y,LELB_Z,LWRA_X,LWRA_Y,LWRA_Z
1,0.0,10.371257,1342.2026,-213.27336,22.09025,1070.1969,20.245041,-126.3393,1332.296,-123.2481,-236.74844,999.04828,-144.21698,-193.85774,801.78174,-24.902079,144.98352,1343.0668,-131.39452,263.9292,1008.9338,-133.01175,214.70886,798.06238,-47.525852
2,0.01,10.37074,1342.2014,-213.3138,22.024797,1070.1833,20.289583,-126.34184,1332.3063,-123.24979,-236.78181,999.06989,-144.17046,-193.86971,801.83777,-24.811504,144.99509,1343.0405,-131.37987,263.86801,1008.8595,-132.92471,214.54152,798.03455,-47.411449
3,0.02,10.375268,1342.1747,-213.29483,21.978617,1070.1614,20.303293,-126.36349,1332.3268,-123.23796,-236.82127,999.07428,-144.12109,-193.94936,801.86591,-24.725323,144.99452,1343.0012,-131.38168,263.80035,1008.7875,-132.86159,214.40958,797.98822,-47.285782
4,0.03,10.369243,1342.1169,-213.21069,21.978619,1070.1614,20.303288,-126.34908,1332.3361,-123.23432,-236.8475,999.12207,-144.06683,-193.9877,801.90631,-24.660385,144.9944,1342.9663,-131.38142,263.69763,1008.7087,-132.77843,214.2718,797.95868,-47.1717
5,0.04,10.350795,1342.1301,-213.20895,21.938648,1070.1588,20.338011,-126.35513,1332.3342,-123.19437,-236.883,999.12012,-144.0473,-194.06769,801.91583,-24.57935,145.03368,1342.9197,-131.36653,263.60693,1008.6459,-132.69119,214.16422,797.89734,-47.096409
6,0.05,10.368984,1342.1207,-213.2128,21.913,1070.1799,20.388998,-126.33644,1332.3455,-123.15553,-236.87915,999.15735,-143.9615,-194.07161,801.94427,-24.472637,145.03087,1342.8934,-131.37872,263.54636,1008.5814,-132.59789,214.02786,797.8924,-46.976696
7,0.06,10.368997,1342.1207,-213.21043,21.902933,1070.1597,20.42264,-126.31657,1332.3632,-123.12857,-236.90674,999.19452,-143.90265,-194.18298,801.96924,-24.374821,145.03255,1342.844,-131.37761,263.465,1008.5179,-132.52365,213.92627,797.87909,-46.809746
8,0.07,10.376246,1342.0739,-213.17825,21.882248,1070.1522,20.414492,-126.31388,1332.3644,-123.00008,-236.94054,999.20667,-143.8172,-194.23619,801.99298,-24.258703,145.03282,1342.8271,-131.37831,263.37643,1008.4616,-132.45741,213.80278,797.79285,-46.743073
9,0.08,10.372022,1342.0551,-213.13367,21.865833,1070.1351,20.454603,-126.30936,1332.3785,-123.04127,-236.9563,999.24951,-143.76202,-194.28893,802.01611,-24.141073,145.05191,1342.7942,-131.31174,263.31873,1008.4131,-132.39287,213.67032,797.79077,-46.617767
10,0.09,10.366913,1342.0374,-213.06049,21.834198,1070.1356,20.49509,-126.26711,1332.3741,-122.97466,-237.00375,999.26215,-143.66333,-194.3732,802.03705,-24.074219,145.05678,1342.7468,-131.28227,263.29419,1008.3428,-132.3201,213.51401,797.76453,-46.494858
11,0.1,10.366063,1342.038,-213.06134,21.822424,1070.1176,20.520685,-126.2558,1332.4047,-122.9684,-237.05528,999.27979,-143.60335,-194.42557,802.0741,-23.959337,145.07288,1342.7401,-131.27692,263.22763,1008.2913,-132.25677,213.40591,797.78992,-46.340908
12,0.11,10.389334,1342.0369,-212.99771,21.813189,1070.0863,20.534323,-126.24225,1332.3949,-122.86293,-237.0428,999.29681,-143.51666,-194.5065,802.09406,-23.86162,145.08406,1342.7059,-131.22479,263.19937,1008.2458,-132.16734,213.31444,797.74707,-46.273022
13,0.12,10.366269,1341.9839,-212.87808,21.800192,1070.0817,20.567057,-126.24219,1332.4092,-122.82011,-237.10979,999.31964,-143.41664,-194.56038,802.16736,-23.810713,145.08559,1342.6775,-131.20245,263.11896,1008.1672,-132.11081,213.2341,797.75568,-46.110497
